peer,KPI,sort,average,Product,Value,Rank,group,Hierarchy1,last,Code
All products,Advanced Analytics,15,4.965172609,Entrinsik,7.663213565,4,2,,,
All products,Advanced Analytics,15,4.965172609,IBM Cog. Analytics,3.855659847,14,2,,,
All products,Advanced Analytics,15,4.965172609,IBM Plan. Analytics,5.536745567,12,2,,,
All products,Advanced Analytics,15,4.965172609,InfoZoom,n/a,n/a,2,,,
All products,Advanced Analytics,15,4.965172609,Logi Analytics,3.928465235,13,2,,,
All products,Advanced Analytics,15,4.965172609,Looker,3.336977311,17,2,,,
All products,Advanced Analytics,15,4.965172609,Microsoft Excel,1.648811189,21,2,,,
All products,Advanced Analytics,15,4.965172609,Microsoft Power BI,3.850360999,15,2,,,
All products,Advanced Analytics,15,4.965172609,MicroStrategy,6.146639389,7,2,,,
All products,Advanced Analytics,15,4.965172609,Oracle Analytics Cloud,10,1,2,,,
All products,Advanced Analytics,15,4.965172609,Phocas,5.739639241,10,2,,,
All products,Advanced Analytics,15,4.965172609,Pyramid,9.340167772,2,2,,,
All products,Advanced Analytics,15,4.965172609,Qlik Sense,5.618409884,11,2,,,
All products,Advanced Analytics,15,4.965172609,QlikView,3.149571053,18,2,,,
All products,Advanced Analytics,15,4.965172609,Report One,2.677762501,19,2,,,
All products,Advanced Analytics,15,4.965172609,SAP Analytics Cloud,5.961665739,8,2,,,
All products,Advanced Analytics,15,4.965172609,SAP BO BI,1.239553825,22,2,,,
